Duration (in seconds);RecordedDate;ResponseId;Q4;Q5;Q5_4_TEXT;Q7;Q6;1. TTCW Fluency1;2. TTCW Fluency2;3. TTCW Fluency3;4. TTCW Fluency4;5. TTCW Fluency5;6.TTCW Flexibility1;7.TTCW Flexibility2;8.TTCW Flexibility3;9. TTCW Originality1;10.TTCW Originality2;11.TTCW Originality3;12.TTCW Elaboration1;13.TTCW Elaboration2;14.TTCW Elaboration3;15. TTCW Fluency1;16. TTCW Fluency2;17. TTCW Fluency3;18. TTCW Fluency4;19. TTCW Fluency5;20TTCW Flexibility1;21TTCW Flexibility2;22TTCW Flexibility3;23.TTCW Originality1;24.TTCW Originality2;25.TTCW Originality3;26.TTCW Elaboration1;27.TTCW Elaboration2;28.TTCW Elaboration3;Q339;StoryA;StoryB;set;order;llm_model;llm_file;human_file
49305;2026-05-27 02:53:15;R_8RE8rLBslBcduJX;22;Vrouw;;WO Bachelor;Tandheelkunde ;Ja;Nee;Ja;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Nee;Ja;Nee;Ja;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Nee;Ja;Nee;Nee;Verhaal 1;;;13;llm_first;gemini;gemini_story_13.txt;human_story_13.txt
206;2026-05-27 03:38:54;R_8f96HcntkHNCGE5;61;Vrouw;;PhD / Doctoraat;Franse taal- en letterkunde en Bestuurs- en Organisatiewetenschap;Nee;Ja;Nee;Ja;Nee;Ja;Nee;Nee;Nee;Nee;Ja;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Verhaal 2;;;25;human_first;gemini;gemini_story_25.txt;human_story_25.txt
542;2026-05-27 05:41:31;R_2INmpeItaByUuhn;32;Vrouw;;WO Master;communicatie;Nee;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Verhaal 1;;;13;llm_first;gpt;gpt_story_13.txt;human_story_13.txt
676;2026-05-27 06:49:04;R_8GHT0dyNq5rVEi0;49;Vrouw;;HBO Bachelor;Communicatie en later omgeschoold tot bezielingscoach en stress en burn-out ;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Nee;Nee;Ja;Nee;Ja;Ja;Ja;Verhaal 2;;;22;human_first;gpt;gpt_story_22.txt;human_story_22.txt
713;2026-05-27 07:44:47;R_8MNdO37K29KRVOM;23;Vrouw;;WO Bachelor;Sociologie;Ja;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Ja;Ja;Nee;Nee;Nee;Nee;Ja;Verhaal 2;;;9;human_first;gpt;gpt_story_9.txt;human_story_9.txt
600;2026-05-27 08:44:44;R_8VuWUROWhdtw8Nz;44;Vrouw;;PhD / Doctoraat;vroegmoderne literatuur;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Nee;Ja;Nee;Ja;Nee;Nee;Ja;Nee;Ja;Nee;Nee;Ja;Nee;Ja;Nee;Ja;Nee;Nee;Ja;Nee;Ja;Verhaal 1;;;27;llm_first;gemini;gemini_story_27.txt;human_story_27.txt
1360;2026-05-27 12:50:47;R_27VDKVYCmrCrAGJ;30;Vrouw;;HBO Bachelor;Schade-expert;Ja;Ja;Ja;Ja;Nee;Nee;Ja;Nee;Ja;Nee;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Verhaal 2;;;30;human_first;claude;claude_story_30.txt;human_story_30.txt
812;2026-05-27 15:23:33;R_8ha9QdQBSnJYACK;52;Vrouw;;HBO Bachelor;Verpleegkundige en lactatiekundige, kwaliteitsmanagement (maar ik werk nu als manager MVO/Duurzaamheid;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Verhaal 2;;;15;llm_first;claude;claude_story_15.txt;human_story_15.txt
955;2026-05-27 22:42:55;R_2NCIgoFlMHBhfpP;65;Vrouw;;WO Master;Nederlandse taal- en letterkunde;Ja;Ja;Nee;Nee;Ja;Nee;Ja;Ja;Nee;Ja;Nee;Nee;Ja;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Nee;Ja;Nee;Ja;Nee;Ja;Nee;Nee;Verhaal 2;;;34;human_first;claude;claude_story_34.txt;human_story_34.txt
490;2026-05-28 06:15:56;R_2g5ESrQ8fXDuFOE;55;Man;;WO Master;Economie;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Nee;Nee;Nee;Ja;Nee;Verhaal 1;;;4;human_first;gpt;gpt_story_4.txt;human_story_4.txt
441;2026-05-28 07:26:14;R_2ml48H5qFJqxqYI;49;Man;;Middelbaar onderwijs (VMBO, HAVO, VWO);Marketing;Nee;Ja;Nee;Ja;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Nee;Ja;Nee;Ja;Verhaal 2;;;19;llm_first;gpt;gpt_story_19.txt;human_story_19.txt
523;2026-05-28 07:31:42;R_25g5Il2yKvUAVnr;25;Vrouw;;WO Master;Lerarenopleiding;Ja;Nee;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Verhaal 2;;;31;llm_first;claude;claude_story_31.txt;human_story_31.txt
1334;2026-05-29 01:51:37;R_2h5f6ZfcunZ5xRd;57;Vrouw;;WO Master;Communicatie;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Nee;Ja;Ja;Ja;Nee;Nee;Ja;Nee;Nee;Ja;Ja;Ja;Nee;Ja;Verhaal 1;;;20;human_first;gemini;gemini_story_20.txt;human_story_20.txt
653;2026-05-29 06:44:59;R_8fkLSwyuk8KXQio;73;Man;;PhD / Doctoraat;Astronomie;Ja;Ja;Ja;Nee;Nee;Ja;Ja;Nee;Nee;Ja;Nee;Ja;Ja;Ja;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Nee;Ja;Nee;Ja;Verhaal 1;;;2;llm_first;gpt;gpt_story_2.txt;human_story_2.txt
837;2026-05-29 12:41:54;R_8Ake6eOAa9x3n3z;34;Man;;Middelbaar onderwijs (VMBO, HAVO, VWO);Communicatie;Ja;Nee;Nee;Ja;Nee;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Nee;Ja;Nee;Nee;Verhaal 2;;;11;llm_first;gemini;gemini_story_11.txt;human_story_11.txt
1242;2026-05-29 13:33:37;R_2CPXu7ULgmmeRf5;75;Vrouw;;Middelbaar onderwijs (VMBO, HAVO, VWO);;Ja;Ja;Nee;Ja;Nee;Ja;Ja;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Nee;Nee;Nee;Nee;Ja;Ja;Nee;Verhaal 1;;;35;human_first;gpt;gpt_story_35.txt;human_story_35.txt
926;2026-05-29 14:58:06;R_8iQYFjgXj0DB5oB;40;Vrouw;;WO Master;Gezondheidszorg ;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Nee;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Nee;Ja;Verhaal 2;;;16;llm_first;gemini;gemini_story_16.txt;human_story_16.txt
685;2026-05-29 15:23:38;R_2QEIK0WnDzO4axt;48;Vrouw;;WO Bachelor;Psychologie en IT;Ja;Nee;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Nee;Ja;Nee;Ja;Verhaal 2;;;14;llm_first;gemini;gemini_story_14.txt;human_story_14.txt
687;2026-05-29 15:25:54;R_8lrCrCy3wcHE7pu;31;Man;;WO Master;MA Burgerschap, werkzaam als casemanager arbodienst;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Nee;Ja;Ja;Nee;Ja;Ja;Ja;Verhaal 2;;;26;human_first;gpt;gpt_story_26.txt;human_story_26.txt
1156;2026-05-29 15:28:54;R_8fZUxxtjJ0NJPLW;22;Vrouw;;MBO;;Nee;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Nee;Ja;Ja;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Verhaal 1;;;5;human_first;claude;claude_story_5.txt;human_story_5.txt
397;2026-05-29 15:28:56;R_8PoBT4iuSItMmkh;31;Man;;WO Master;Internationale Betrekkingen;Nee;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Nee;Nee;Ja;Nee;Nee;Ja;Ja;Nee;Ja;Nee;Nee;Nee;Ja;Ja;Nee;Nee;Verhaal 2;;;18;human_first;gemini;gemini_story_18.txt;human_story_18.txt
1274;2026-05-29 15:29:20;R_2zzIAeyAj9ENO0N;29;Vrouw;;WO Master;Biologie;Ja;Nee;Ja;Nee;Ja;Nee;Nee;Ja;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Nee;Verhaal 1;;;23;llm_first;gpt;gpt_story_23.txt;human_story_23.txt
225;2026-05-29 15:39:59;R_2dgNZ4ZB9FQYtBs;40;Vrouw;;HBO Master;HRM/Onderwijs;Nee;Ja;Nee;Ja;Ja;Nee;Nee;Ja;Ja;Ja;Nee;Ja;Nee;Ja;Ja;Nee;Ja;Nee;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Nee;Verhaal 1;;;8;human_first;claude;claude_story_8.txt;human_story_8.txt
805;2026-05-29 15:40:03;R_21KKJjIDSYuvbci;27;Vrouw;;WO Bachelor;Pedagogische Wetenschappen en Onderwijskunde;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Nee;Ja;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Ja;Ja;Nee;Nee;Nee;Ja;Nee;Nee;Verhaal 1;;;29;llm_first;claude;claude_story_29.txt;human_story_29.txt
623;2026-05-29 15:45:54;R_8HwEtJ9W4uJz2BJ;25;Vrouw;;WO Bachelor;Filosofie;Ja;Ja;Ja;Nee;Ja;Nee;Ja;Nee;Nee;Ja;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Nee;Ja;Ja;Ja;Nee;Verhaal 2;;;32;human_first;gpt;gpt_story_32.txt;human_story_32.txt
341;2026-05-29 15:56:04;R_2mK1LFYhP725piA;28;Vrouw;;WO Master;Filosofie van onderwijs;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Verhaal 1;;;15;llm_first;gpt;gpt_story_15.txt;human_story_15.txt
472;2026-05-29 16:05:46;R_8eb1Ml6zAUFfQvg;30;Vrouw;;WO Master;Computer Science;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Nee;Ja;Ja;Nee;Nee;Ja;Ja;Nee;Nee;Nee;Ja;Nee;Ja;Verhaal 2;;;31;human_first;claude;claude_story_31.txt;human_story_31.txt
684;2026-05-29 16:46:22;R_8JX6prbnGgys368;42;Vrouw;;HBO Master;Economie;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Nee;Nee;Ja;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Nee;Ja;Nee;Nee;Verhaal 1;;;29;llm_first;gemini;gemini_story_29.txt;human_story_29.txt
292;2026-05-29 17:00:51;R_2inatcucbvtr5yR;33;Man;;WO Master;Financiële dienstverlening/cultuurhistorie ;Nee;Ja;Ja;Nee;Ja;Nee;Ja;Nee;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Nee;Nee;Ja;Nee;Nee;Ja;Nee;Nee;Verhaal 2;;;1;human_first;gpt;gpt_story_1.txt;human_story_1.txt
1592;2026-05-29 17:26:27;R_2ltHu1N5Ya2YiMF;29;Vrouw;;MBO;Dierverzorging;Nee;Ja;Ja;Nee;Ja;Nee;Ja;Ja;Ja;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Ja;Nee;Nee;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Verhaal 1;;;27;llm_first;claude;claude_story_27.txt;human_story_27.txt
585;2026-05-29 23:43:34;R_27Q1chKcSnCMqeF;38;Vrouw;;WO Master;Engelse taal en cultuur (bachelor), Vertalen (master), Culturele sociologie en antropologie (propedeuse), Zorgadministratie (werk);Ja;Ja;Nee;Nee;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Verhaal 2;;;35;human_first;claude;claude_story_35.txt;human_story_35.txt
757;2026-05-30 00:41:37;R_815sn6CLON0AMLo;37;Man;;Anders;Specialisatie Romans en Korte Verhalen;Ja;Ja;Nee;Ja;Ja;Nee;Nee;Ja;Ja;Ja;Nee;Ja;Nee;Ja;Ja;Ja;Nee;Nee;Ja;Ja;Nee;Nee;Ja;Ja;Nee;Ja;Ja;Ja;Verhaal 1;;;19;llm_first;claude;claude_story_19.txt;human_story_19.txt
537;2026-05-30 00:47:37;R_2ggwTA9tnqMqBEt;34;Non-binair;;WO Master;Literatuurwetenschap en Gender studies, werk nu bij een kleine uitgeverij;Nee;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Nee;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Verhaal 1;;;18;human_first;gemini;gemini_story_18.txt;human_story_18.txt
331;2026-05-30 01:54:52;R_26uYFn3olJcj4A1;59;Vrouw;;Middelbaar onderwijs (VMBO, HAVO, VWO);Dienstverlening ;Nee;Nee;Nee;Ja;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Nee;Verhaal 2;;;3;llm_first;claude;claude_story_3.txt;human_story_3.txt
657;2026-05-30 03:47:14;R_8E6Mi8amc2RX7io;22;Vrouw;;HBO Bachelor;Journalistiek/bureauredactie uitgeverij;Nee;Nee;Nee;Nee;Nee;;Nee;;;;;;;;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Nee;Ja;Nee;Nee;Ja;Nee;Ja;Verhaal 2;;;12;llm_first;gemini;gemini_story_12.txt;human_story_12.txt
982;2026-05-30 04:12:18;R_5VD8Q3XHh2gL4Hf;31;Man;;Middelbaar onderwijs (VMBO, HAVO, VWO);Kunst;Nee;Nee;Ja;Ja;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Ja;Nee;Nee;Ja;Ja;Ja;Nee;Ja;Nee;Nee;Nee;Ja;Nee;Ja;Ja;Nee;Nee;Verhaal 2;;;10;human_first;gemini;gemini_story_10.txt;human_story_10.txt
640;2026-05-30 05:21:55;R_4gNF019K9GYPqgu;65;Vrouw;;Middelbaar onderwijs (VMBO, HAVO, VWO);Administratief;Nee;;;;;;;;;;;;;;Ja;Ja;Ja;Nee;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;;;;36;llm_first;gemini;gemini_story_36.txt;human_story_36.txt
479;2026-05-30 05:30:04;R_4t8cEDQ8UdComxX;65;Vrouw;;Middelbaar onderwijs (VMBO, HAVO, VWO);Administratief;Ja;Ja;Nee;Nee;Nee;Ja;Ja;Nee;Nee;Ja;Ja;Ja;;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Verhaal 2;;;28;llm_first;gemini;gemini_story_28.txt;human_story_28.txt
812;2026-05-30 08:10:47;R_8zMdeQpmwsEEvQS;49;Man;;WO Master;Politicologie;Ja;Ja;Nee;Ja;Ja;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Verhaal 1;;;32;human_first;claude;claude_story_32.txt;human_story_32.txt
968;2026-05-30 09:10:53;R_2GCVf6prV10TpYt;56;Vrouw;;WO Bachelor;psychologie;Nee;Ja;Nee;Nee;Ja;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Ja;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Ja;Nee;Verhaal 2;;;23;human_first;gpt;gpt_story_23.txt;human_story_23.txt
874;2026-05-30 09:53:53;R_2Ng0b3XQCrl6uGu;35;Vrouw;;WO Master;Taalkunde en journalistiek;Nee;Ja;Nee;Nee;Ja;Ja;Ja;Nee;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Nee;Nee;Verhaal 1;;;24;llm_first;gemini;gemini_story_24.txt;human_story_24.txt
1086;2026-05-30 11:22:23;R_2kiaOe91CBLqWVm;37;Vrouw;;Middelbaar onderwijs (VMBO, HAVO, VWO);Communicatie ;Ja;Nee;Nee;Nee;Ja;Nee;Nee;Nee;Ja;Nee;Ja;Nee;Nee;Nee;Nee;Ja;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Verhaal 2;;;11;human_first;claude;claude_story_11.txt;human_story_11.txt
619;2026-05-30 11:32:49;R_2vo8zctdJQpnw41;76;Man;;WO Bachelor;rechten;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Nee;Ja;Ja;Nee;Ja;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Ja;Nee;Nee;Verhaal 1;;;17;llm_first;claude;claude_story_17.txt;human_story_17.txt
1134;2026-05-30 15:08:47;R_637u0Wq1iszPRYq;63;Vrouw;;HBO Master;Management;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Ja;;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Verhaal 2;;;25;human_first;claude;claude_story_25.txt;human_story_25.txt
1125;2026-05-31 04:23:26;R_2OkTZQJijoRQFCS;66;Man;;HBO Master;Muziek;Ja;Ja;Nee;Nee;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Ja;Nee;Ja;Ja;Nee;Nee;Nee;Nee;Ja;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Verhaal 2;;;26;llm_first;gemini;gemini_story_26.txt;human_story_26.txt
278;2026-05-31 04:31:33;R_8s1c9S9hLuQNjHR;7687;Man;;PhD / Doctoraat;Geneeskunde;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Verhaal 1;;;8;human_first;claude;claude_story_8.txt;human_story_8.txt
2454;2026-05-31 04:46:10;R_8UY30pZemet1MUW;72;Man;;HBO Bachelor;Druktechniek;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Nee;Nee;Ja;Nee;Ja;Nee;Nee;Nee;Nee;Ja;Nee;Nee;Verhaal 1;;;13;llm_first;gpt;gpt_story_13.txt;human_story_13.txt
1348;2026-05-31 05:44:49;R_2EscfluxKMg3S6w;82;Vrouw;;Anders;"Vertalen, lexicografie
";Ja;Ja;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Nee;Ja;Nee;Ja;Ja;Ja;Nee;Ja;Ja;Nee;Nee;Ja;Nee;Ja;Nee;Nee;Ja;Ja;Verhaal 2;;;32;human_first;gpt;gpt_story_32.txt;human_story_32.txt
1026;2026-05-31 10:01:36;R_2whImeJepfowbqV;26;Vrouw;;WO Master;Neerlandistiek;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Nee;Nee;Nee;Ja;Nee;Nee;Ja;Nee;Nee;Verhaal 2;;;16;human_first;claude;claude_story_16.txt;human_story_16.txt
351;2026-05-31 10:29:39;R_2tnWpWnuU6mAGzu;35;Vrouw;;WO Bachelor;Theologie ;Ja;Ja;Nee;Nee;Nee;Nee;Ja;Ja;Nee;Ja;Nee;Ja;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Nee;Nee;Verhaal 1;;;24;llm_first;gpt;gpt_story_24.txt;human_story_24.txt
468;2026-05-31 10:45:25;R_2AZ23Xucw7HhYKh;44;Vrouw;;HBO Bachelor;Docent Nederlands;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Nee;Nee;Nee;Ja;Nee;Nee;Nee;Ja;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Nee;Nee;Verhaal 1;;;35;llm_first;gpt;gpt_story_35.txt;human_story_35.txt
738;2026-05-31 11:38:51;R_2VSKHEhvC9QAUUx;47;Vrouw;;WO Master;Geschiedenis, journalistiek;Nee;Nee;Nee;Ja;Ja;Ja;Nee;Nee;Nee;Nee;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Nee;Ja;Nee;Nee;Ja;Nee;Ja;Nee;Ja;Nee;Nee;Verhaal 1;;;29;human_first;claude;claude_story_29.txt;human_story_29.txt
1678;2026-05-31 14:23:36;R_8GPj453mwS0DGk9;61;Vrouw;;WO Master;"(Tropische)landbouw, specialisatie bodemkunde en ecologische landbouw
Landbouwjournalistiek";Ja;Nee;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Ja;Ja;Nee;Nee;Ja;Nee;Nee;Nee;Ja;Nee;Ja;Ja;Nee;Nee;Nee;Ja;Nee;Nee;;;;19;human_first;gemini;gemini_story_19.txt;human_story_19.txt
552;2026-05-31 15:59:39;R_82Zmb8iW216DaZr;60;Man;;HBO Bachelor;communicatie;Nee;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Verhaal 2;;;33;human_first;gpt;gpt_story_33.txt;human_story_33.txt
911;2026-05-31 20:40:44;R_29xK2N5cYzWgClz;66;Man;;HBO Bachelor;Ict;Ja;Ja;Ja;Ja;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Ja;Ja;Nee;Ja;Ja;Nee;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Verhaal 2;;;27;llm_first;gpt;gpt_story_27.txt;human_story_27.txt
1322;2026-05-31 20:51:30;R_2NeOuR9dVcbLrIY;72;Man;;MBO;werktuigbouw;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Nee;Nee;Nee;Nee;Ja;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Verhaal 1;;;26;human_first;gemini;gemini_story_26.txt;human_story_26.txt
515;2026-05-31 22:23:45;R_2OuXkV9GwhLppWp;76;Man;;PhD / Doctoraat;historische letterkunde;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Ja;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Verhaal 2;;;13;llm_first;claude;claude_story_13.txt;human_story_13.txt
1374;2026-05-31 22:39:10;R_2uUq3LQvrDAigjV;52;Vrouw;;WO Master;Oost-Europese talen en culturen;Ja;Nee;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Nee;Nee;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Nee;Nee;Nee;Ja;Nee;Ja;Verhaal 2;;;21;human_first;claude;claude_story_21.txt;human_story_21.txt
844;2026-05-31 22:41:06;R_2RaCP1vs276VpG0;75;Man;;HBO Bachelor;Nederlandse taal en letterkunde ;Nee;Nee;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Nee;Nee;Verhaal 2;;;30;human_first;gpt;gpt_story_30.txt;human_story_30.txt
2613;2026-05-31 23:01:32;R_8I5mNeHLUmBVmAd;57;Man;;WO Master;Rechten;Ja;Nee;Nee;Ja;Nee;Nee;Ja;Nee;Nee;Ja;Nee;Ja;Ja;Nee;Ja;Nee;Nee;Nee;Nee;Ja;Nee;Ja;Ja;Nee;Nee;Nee;Nee;Ja;Verhaal 1;;;5;llm_first;claude;claude_story_5.txt;human_story_5.txt
591;2026-06-01 00:37:03;R_8CcyedXwGQVYt1L;56;Vrouw;;WO Master;Vertaalwetenschap;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Ja;Nee;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Nee;Ja;Nee;Nee;Nee;Nee;Nee;Verhaal 2;;;36;human_first;claude;claude_story_36.txt;human_story_36.txt
975;2026-06-01 00:38:23;R_81LZ46TImwAnbSJ;76;Man;;HBO Master;Nederlandse taal- en letterkunde;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Ja;Nee;Nee;Nee;Nee;Nee;Ja;Nee;Nee;Nee;Verhaal 1;;;2;llm_first;gpt;gpt_story_2.txt;human_story_2.txt
1123;2026-06-01 00:39:50;R_8mISKSz85agOubl;70;Man;;HBO Master;Nederlands;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Nee;Nee;Ja;Nee;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nee;Ja;Nee;Nee;Ja;Nee;Ja;Verhaal 2;;;6;human_first;gpt;gpt_story_6.txt;human_story_6.txt
960;2026-06-01 00:48:12;R_2Hww7IRQ9pxnSdr;62;Vrouw;;WO Master;Corporate Compliance;Ja;Ja;Nee;Ja;Ja;Nee;Nee;Nee;Nee;Nee;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Ja;Ja;Nee;Nee;Ja;Nee;Ja;Ja;Nee;Nee;Nee;Verhaal 2;;;17;human_first;claude;claude_story_17.txt;human_story_17.txt
